redemption_id,card_id,redemption_date,redemption_amount
GC-500033-R1,GC-500033,2025-05-06,45.34
GC-500035-R1,GC-500035,2024-07-08,57.52
GC-500035-R2,GC-500035,2024-10-08,23.35
GC-500036-R1,GC-500036,2023-09-07,50.89
GC-500036-R2,GC-500036,2023-09-18,-25.39
GC-500037-R1,GC-500037,2023-05-13,21.29
GC-500037-R2,GC-500037,2023-07-13,47.2
GC-500039-R1,GC-500039,2023-09-06,24.85
GC-500040-R1,GC-500040,2022-11-22,72.04
GC-500042-R1,GC-500042,2023-09-21,23.33
GC-500043-R1,GC-500043,2024-06-23,188.55
GC-500044-R1,GC-500044,2022-06-15,44.33
GC-500044-R2,GC-500044,2022-07-15,98.96
GC-500045-R1,GC-500045,2023-07-07,23.79
GC-500045-R2,GC-500045,2023-09-07,11.72
GC-500045-R3,GC-500045,2023-11-07,5.89
GC-500045-R4,GC-500045,2024-01-07,6.93
GC-500046-R1,GC-500046,2023-08-20,198.49
GC-500048-R1,GC-500048,2024-07-01,93.5
GC-500049-R1,GC-500049,2022-02-18,46.99
GC-500050-R1,GC-500050,2024-05-21,56.31
GC-500051-R1,GC-500051,2022-09-25,15.93
GC-500052-R1,GC-500052,2024-01-09,29.41
GC-500053-R1,GC-500053,2023-07-25,24.27
GC-500055-R1,GC-500055,2024-02-05,7.24
GC-500055-R2,GC-500055,2024-05-05,6.25
GC-500055-R3,GC-500055,2024-07-05,10.81
GC-500057-R1,GC-500057,2024-10-11,23.26
GC-500058-R1,GC-500058,2024-01-22,94.42
GC-500060-R1,GC-500060,2023-04-27,69.18
GC-500061-R1,GC-500061,2023-08-17,147.75
GC-500062-R1,GC-500062,2023-03-03,87.8
GC-500062-R2,GC-500062,2023-04-03,99.88
GC-500063-R1,GC-500063,2023-04-25,190.36
GC-500064-R1,GC-500064,2024-12-23,38.21
GC-500065-R1,GC-500065,2025-04-28,141.69
GC-500066-R1,GC-500066,2025-01-10,49.2
GC-500067-R1,GC-500067,2024-11-19,46.37
GC-500068-R1,GC-500068,2023-08-11,74.2
GC-500069-R1,GC-500069,2024-05-24,48.53
GC-500070-R1,GC-500070,2024-09-12,10.52
GC-500072-R1,GC-500072,2023-06-28,18.57
GC-500072-R2,GC-500072,2023-10-28,11.6
GC-500072-R3,GC-500072,2024-02-28,16.19
GC-500074-R1,GC-500074,2024-07-27,91.82
GC-500075-R1,GC-500075,2024-10-20,32.98
GC-500076-R1,GC-500076,2023-04-17,48.25
GC-500077-R1,GC-500077,2023-08-22,24.05
GC-500078-R1,GC-500078,2023-08-23,90.55
GC-500078-R2,GC-500078,2023-09-23,40.98
GC-500078-R3,GC-500078,2023-11-23,26.23
GC-500078-R4,GC-500078,2023-12-23,27.36
GC-500079-R1,GC-500079,2022-05-22,127.25
GC-500079-R2,GC-500079,2022-05-27,-28.35
GC-500081-R1,GC-500081,2022-06-26,28.82
GC-500081-R2,GC-500081,2022-10-26,50.3
GC-500081-R3,GC-500081,2022-11-26,20.57
GC-500081-R4,GC-500081,2023-02-26,41.74
GC-500082-R1,GC-500082,2023-02-10,23.59
GC-500084-R1,GC-500084,2023-08-18,74.11
GC-500085-R1,GC-500085,2024-04-16,7.28
GC-500085-R2,GC-500085,2024-07-16,4.97
GC-500085-R3,GC-500085,2024-12-16,11.49
GC-500086-R1,GC-500086,2022-02-06,45.43
GC-500087-R1,GC-500087,2023-06-08,27.81
GC-500087-R2,GC-500087,2023-10-08,68.65
GC-500089-R1,GC-500089,2024-05-30,139.96
GC-500090-R1,GC-500090,2023-10-28,11.79
GC-500090-R2,GC-500090,2023-12-28,3.22
GC-500090-R3,GC-500090,2024-04-28,2.63
GC-500090-R4,GC-500090,2024-09-28,6.66
GC-500091-R1,GC-500091,2023-09-03,19.17
GC-500091-R2,GC-500091,2023-11-03,7.71
GC-500091-R3,GC-500091,2023-12-03,19.6
GC-500092-R1,GC-500092,2023-08-26,48.19
GC-500093-R1,GC-500093,2023-08-06,94.4
GC-500094-R1,GC-500094,2025-02-05,23.5
GC-500095-R1,GC-500095,2022-12-07,149.24
GC-500096-R1,GC-500096,2024-09-02,146.86
GC-500097-R1,GC-500097,2024-10-11,34.8
GC-500099-R1,GC-500099,2023-08-07,136.13
GC-500100-R1,GC-500100,2023-09-20,18.86
GC-500100-R2,GC-500100,2023-12-20,12.03
GC-500100-R3,GC-500100,2024-05-20,15.55
GC-500101-R1,GC-500101,2024-07-20,138.37
GC-500103-R1,GC-500103,2023-11-15,8.29
GC-500103-R2,GC-500103,2024-03-15,5.1
GC-500103-R3,GC-500103,2024-08-15,10.28
GC-500104-R1,GC-500104,2024-07-03,72.03
GC-500105-R1,GC-500105,2022-02-18,71.82
GC-500106-R1,GC-500106,2025-03-28,99.16
GC-500107-R1,GC-500107,2024-11-04,42.75
GC-500109-R1,GC-500109,2025-01-20,69.39
GC-500111-R1,GC-500111,2024-01-18,96.25
GC-500112-R1,GC-500112,2023-02-26,43.46
GC-500112-R2,GC-500112,2023-04-26,55.35
GC-500113-R1,GC-500113,2022-02-28,39.87
GC-500114-R1,GC-500114,2022-11-26,185.84
GC-500116-R1,GC-500116,2023-09-23,93.4
GC-500118-R1,GC-500118,2023-03-01,47.89
GC-500118-R2,GC-500118,2023-06-01,43.5
GC-500118-R3,GC-500118,2023-08-01,18.9
GC-500118-R4,GC-500118,2023-10-01,31.98
GC-500119-R1,GC-500119,2022-06-28,213.56
GC-500121-R1,GC-500121,2024-07-20,148.66
GC-500122-R1,GC-500122,2023-03-13,97.82
GC-500123-R1,GC-500123,2022-10-14,91.05
GC-500123-R2,GC-500123,2022-11-14,40.89
GC-500123-R3,GC-500123,2023-01-14,65.25
GC-500124-R1,GC-500124,2023-09-11,23.58
GC-500125-R1,GC-500125,2024-08-27,185.99
GC-500126-R1,GC-500126,2023-11-24,70.73
GC-500129-R1,GC-500129,2023-11-07,6.12
GC-500129-R2,GC-500129,2024-03-07,9.01
GC-500129-R3,GC-500129,2024-08-07,9.62
GC-500130-R1,GC-500130,2024-09-18,16.46
GC-500131-R1,GC-500131,2024-05-06,21.16
GC-500131-R2,GC-500131,2024-10-06,24.72
GC-500131-R3,GC-500131,2024-11-06,13.76
GC-500132-R1,GC-500132,2023-06-17,69.14
GC-500133-R1,GC-500133,2023-07-18,180.79
GC-500134-R1,GC-500134,2024-05-18,11.48
GC-500134-R2,GC-500134,2024-07-18,14.81
GC-500134-R3,GC-500134,2024-10-18,6.88
GC-500135-R1,GC-500135,2023-10-11,35.74
GC-500135-R2,GC-500135,2023-12-11,37.36
GC-500136-R1,GC-500136,2024-08-24,16.16
GC-500136-R2,GC-500136,2024-11-24,20.9
GC-500137-R1,GC-500137,2024-02-20,68.31
GC-500139-R1,GC-500139,2023-09-11,91.17
GC-500143-R1,GC-500143,2025-02-28,99.39
GC-500144-R1,GC-500144,2024-04-21,99.51
GC-500145-R1,GC-500145,2024-05-05,30.38
GC-500146-R1,GC-500146,2022-06-13,69.33
GC-500147-R1,GC-500147,2023-08-21,47.93
GC-500148-R1,GC-500148,2022-12-28,10.72
GC-500149-R1,GC-500149,2023-01-14,6.78
GC-500149-R2,GC-500149,2023-03-14,16.05
GC-500150-R1,GC-500150,2022-04-18,188.42
GC-500151-R1,GC-500151,2024-12-07,30.65
GC-500152-R1,GC-500152,2024-11-27,9.19
GC-500153-R1,GC-500153,2022-07-28,72.06
GC-500154-R1,GC-500154,2024-02-28,32.85
GC-500154-R2,GC-500154,2024-03-28,50.19
GC-500154-R3,GC-500154,2024-08-28,24.94
GC-500154-R4,GC-500154,2024-10-28,34.98
GC-500155-R1,GC-500155,2024-08-13,27.43
GC-500155-R2,GC-500155,2024-11-13,26.35
GC-500156-R1,GC-500156,2024-08-28,24.58
GC-500158-R1,GC-500158,2022-12-08,62.74
GC-500158-R2,GC-500158,2022-12-21,-13.52
GC-500159-R1,GC-500159,2024-03-02,23.94
GC-500160-R1,GC-500160,2023-09-05,19.78
GC-500160-R2,GC-500160,2024-01-05,24.52
GC-500160-R3,GC-500160,2024-06-05,29.54
GC-500161-R1,GC-500161,2022-03-23,196.59
GC-500163-R1,GC-500163,2024-04-28,25.51
GC-500164-R1,GC-500164,2024-05-10,40.45
GC-500164-R2,GC-500164,2024-10-10,20.06
GC-500164-R3,GC-500164,2024-11-10,8.12
GC-500165-R1,GC-500165,2022-10-17,27.24
GC-500165-R2,GC-500165,2023-03-17,16.24
GC-500165-R3,GC-500165,2023-07-17,53.14
GC-500167-R1,GC-500167,2022-05-04,99.84
GC-500168-R1,GC-500168,2023-06-09,69.67
GC-500169-R1,GC-500169,2023-04-26,95.33
GC-500170-R1,GC-500170,2022-05-28,180.85
GC-500171-R1,GC-500171,2024-09-28,20.03
GC-500171-R2,GC-500171,2024-12-28,77.06
GC-500173-R1,GC-500173,2024-05-28,7.05
GC-500173-R2,GC-500173,2024-07-28,3.66
GC-500173-R3,GC-500173,2024-08-28,12.78
GC-500174-R1,GC-500174,2024-12-10,41.69
GC-500174-R2,GC-500174,2024-12-14,-11.54
GC-500175-R1,GC-500175,2022-11-26,22.94
GC-500176-R1,GC-500176,2024-10-08,80.89
GC-500178-R1,GC-500178,2022-05-26,42.28
GC-500178-R2,GC-500178,2022-08-26,93.83
GC-500179-R1,GC-500179,2022-08-04,47.76
GC-500179-R2,GC-500179,2023-01-04,37.52
GC-500179-R3,GC-500179,2023-04-04,21.87
GC-500179-R4,GC-500179,2023-09-04,35.46
GC-500180-R1,GC-500180,2023-06-07,24.53
GC-500181-R1,GC-500181,2023-05-20,22.17
GC-500182-R1,GC-500182,2024-02-05,70.41
GC-500185-R1,GC-500185,2024-01-14,180.25
GC-500186-R1,GC-500186,2022-12-22,88.24
GC-500186-R2,GC-500186,2023-05-22,25.2
GC-500186-R3,GC-500186,2023-09-22,85.32
GC-500187-R1,GC-500187,2024-03-12,61.38
GC-500187-R2,GC-500187,2024-03-21,-15.81
GC-500188-R1,GC-500188,2023-05-14,73.83
GC-500189-R1,GC-500189,2024-12-19,186.74
GC-500190-R1,GC-500190,2022-11-18,49.16
GC-500191-R1,GC-500191,2022-06-28,72.57
GC-500192-R1,GC-500192,2024-11-08,79.16
GC-500193-R1,GC-500193,2024-05-24,52.55
GC-500193-R2,GC-500193,2024-09-24,47.63
GC-500193-R3,GC-500193,2024-11-24,49.59
GC-500194-R1,GC-500194,2023-10-28,86.34
GC-500194-R2,GC-500194,2024-01-28,103.27
GC-500195-R1,GC-500195,2023-02-25,99.05
GC-500196-R1,GC-500196,2023-08-28,23.25
GC-500196-R2,GC-500196,2023-12-28,25.53
GC-500196-R3,GC-500196,2024-03-28,25.7
GC-500198-R1,GC-500198,2023-02-09,24.89
GC-500198-R2,GC-500198,2023-03-09,49.49
GC-500200-R1,GC-500200,2024-06-16,69.28
GC-500201-R1,GC-500201,2024-08-25,9.58
GC-500202-R1,GC-500202,2023-02-22,23.06
GC-500202-R2,GC-500202,2023-03-22,23.91
GC-500202-R3,GC-500202,2023-06-22,9.48
GC-500202-R4,GC-500202,2023-11-22,33.57
GC-500204-R1,GC-500204,2024-06-03,19.91
GC-500204-R2,GC-500204,2024-07-03,53.19
GC-500205-R1,GC-500205,2024-01-12,10.5
GC-500205-R2,GC-500205,2024-05-12,6.37
GC-500205-R3,GC-500205,2024-09-12,2.54
GC-500205-R4,GC-500205,2024-11-12,3.97
GC-500209-R1,GC-500209,2024-03-11,11.48
GC-500209-R2,GC-500209,2024-07-11,3.93
GC-500209-R3,GC-500209,2024-09-11,9.09
GC-500210-R1,GC-500210,2025-01-15,139.0
GC-500211-R1,GC-500211,2024-08-28,19.01
GC-500211-R2,GC-500211,2024-11-28,28.72
GC-500212-R1,GC-500212,2024-08-22,72.62
GC-500212-R2,GC-500212,2024-12-22,32.83
GC-500214-R1,GC-500214,2022-10-20,195.63
GC-500215-R1,GC-500215,2024-02-21,99.49
GC-500217-R1,GC-500217,2024-01-22,72.37
GC-500220-R1,GC-500220,2023-06-14,24.59
GC-500220-R2,GC-500220,2023-09-14,9.88
GC-500220-R3,GC-500220,2023-10-14,5.4
GC-500220-R4,GC-500220,2024-01-14,9.39
GC-500223-R1,GC-500223,2022-04-23,55.08
GC-500223-R2,GC-500223,2022-05-23,19.45
GC-500223-R3,GC-500223,2022-09-23,34.52
GC-500223-R4,GC-500223,2023-01-23,34.53
GC-500224-R1,GC-500224,2024-10-21,43.86
GC-500226-R1,GC-500226,2024-08-05,6.11
GC-500226-R2,GC-500226,2024-10-05,5.61
GC-500229-R1,GC-500229,2023-01-12,234.55
GC-500231-R1,GC-500231,2023-07-27,17.06
GC-500231-R2,GC-500231,2023-12-27,9.11
GC-500231-R3,GC-500231,2024-03-27,7.82
GC-500231-R4,GC-500231,2024-07-27,14.84
GC-500232-R1,GC-500232,2024-11-17,47.33
GC-500234-R1,GC-500234,2022-10-25,40.19
GC-500234-R2,GC-500234,2022-12-25,25.01
GC-500234-R3,GC-500234,2023-01-25,78.22
GC-500236-R1,GC-500236,2023-11-18,186.25
GC-500237-R1,GC-500237,2024-11-14,71.23
GC-500238-R1,GC-500238,2024-09-25,47.92
GC-500239-R1,GC-500239,2024-09-21,135.12
GC-500240-R1,GC-500240,2024-05-20,67.84
GC-500241-R1,GC-500241,2024-04-13,30.46
GC-500241-R2,GC-500241,2024-09-13,15.19
GC-500241-R3,GC-500241,2024-10-13,5.34
GC-500241-R4,GC-500241,2024-11-13,17.06
GC-500242-R1,GC-500242,2024-02-11,149.08
GC-500243-R1,GC-500243,2024-06-02,22.61
GC-500245-R1,GC-500245,2023-04-28,65.52
GC-500245-R2,GC-500245,2023-09-28,27.95
GC-500245-R3,GC-500245,2024-02-28,52.62
GC-500246-R1,GC-500246,2024-11-28,69.98
GC-500248-R1,GC-500248,2023-09-12,23.96
GC-500249-R1,GC-500249,2022-10-28,26.03
GC-500249-R2,GC-500249,2022-11-06,-7.66
GC-500250-R1,GC-500250,2024-05-11,47.05
GC-500251-R1,GC-500251,2023-02-10,21.88
GC-500252-R1,GC-500252,2023-03-21,53.67
GC-500252-R2,GC-500252,2023-05-21,42.12
GC-500252-R3,GC-500252,2023-08-21,16.29
GC-500252-R4,GC-500252,2023-10-21,28.05
GC-500253-R1,GC-500253,2023-11-15,17.84
GC-500253-R2,GC-500253,2024-02-15,8.76
GC-500253-R3,GC-500253,2024-07-15,21.85
GC-500255-R1,GC-500255,2023-12-13,6.17
GC-500255-R2,GC-500255,2024-05-13,4.84
GC-500255-R3,GC-500255,2024-10-13,12.36
GC-500256-R1,GC-500256,2022-10-09,146.11
GC-500257-R1,GC-500257,2023-08-08,10.42
GC-500257-R2,GC-500257,2023-10-08,7.02
GC-500257-R3,GC-500257,2024-03-08,13.73
GC-500257-R4,GC-500257,2024-05-08,14.09
GC-500258-R1,GC-500258,2024-12-01,70.95
GC-500259-R1,GC-500259,2022-07-05,138.48
GC-500260-R1,GC-500260,2024-07-05,12.02
GC-500260-R2,GC-500260,2024-10-05,6.01
GC-500260-R3,GC-500260,2024-11-05,6.96
GC-500262-R1,GC-500262,2024-10-08,142.02
GC-500263-R1,GC-500263,2022-11-30,96.48
GC-500264-R1,GC-500264,2024-02-28,195.15
GC-500266-R1,GC-500266,2023-01-15,74.52
GC-500267-R1,GC-500267,2024-07-04,69.76
GC-500268-R1,GC-500268,2024-03-07,45.31
GC-500270-R1,GC-500270,2022-09-28,70.26
GC-500271-R1,GC-500271,2023-04-10,94.66
GC-500271-R2,GC-500271,2023-09-10,46.32
GC-500271-R3,GC-500271,2023-11-10,25.2
GC-500271-R4,GC-500271,2024-04-10,33.6
GC-500272-R1,GC-500272,2025-04-12,145.56
GC-500274-R1,GC-500274,2024-03-03,91.16
GC-500275-R1,GC-500275,2022-11-06,33.06
GC-500275-R2,GC-500275,2022-12-06,23.91
GC-500275-R3,GC-500275,2023-03-06,17.15
GC-500275-R4,GC-500275,2023-07-06,23.97
GC-500276-R1,GC-500276,2022-03-07,47.89
GC-500277-R1,GC-500277,2022-09-04,28.21
GC-500277-R2,GC-500277,2023-01-04,62.11
GC-500279-R1,GC-500279,2023-01-28,31.37
GC-500280-R1,GC-500280,2022-01-22,70.97
GC-500281-R1,GC-500281,2024-03-16,47.3
GC-500282-R1,GC-500282,2022-03-07,57.33
GC-500282-R2,GC-500282,2022-03-10,-13.2
GC-500283-R1,GC-500283,2024-12-03,194.07
GC-500284-R1,GC-500284,2024-04-05,47.7
GC-500285-R1,GC-500285,2024-11-08,49.08
GC-500286-R1,GC-500286,2024-03-19,27.13
GC-500288-R1,GC-500288,2024-09-24,39.42
GC-500288-R2,GC-500288,2024-12-24,20.87
GC-500289-R1,GC-500289,2023-12-07,22.3
GC-500289-R2,GC-500289,2024-02-07,26.47
GC-500292-R1,GC-500292,2024-03-28,145.87
GC-500294-R1,GC-500294,2023-05-21,23.74
GC-500294-R2,GC-500294,2023-06-21,25.61
GC-500295-R1,GC-500295,2023-10-12,43.16
GC-500295-R2,GC-500295,2024-01-12,102.4
GC-500296-R1,GC-500296,2024-12-12,187.19
GC-500298-R1,GC-500298,2023-11-03,23.91
GC-500299-R1,GC-500299,2023-08-19,42.96
GC-500299-R2,GC-500299,2023-12-19,100.73
GC-500301-R1,GC-500301,2024-12-27,48.85
GC-500304-R1,GC-500304,2023-04-06,22.52
GC-500304-R2,GC-500304,2023-08-06,5.12
GC-500304-R3,GC-500304,2024-01-06,7.27
GC-500304-R4,GC-500304,2024-02-06,12.62
GC-500306-R1,GC-500306,2022-12-08,137.23
GC-500307-R1,GC-500307,2024-03-27,65.91
GC-500307-R2,GC-500307,2024-04-09,-17.65
GC-500309-R1,GC-500309,2023-06-20,45.41
GC-500310-R1,GC-500310,2022-10-15,25.47
GC-500311-R1,GC-500311,2024-01-28,144.87
GC-500312-R1,GC-500312,2023-08-02,137.16
GC-500314-R1,GC-500314,2024-05-11,59.14
GC-500315-R1,GC-500315,2022-08-20,92.32
GC-500316-R1,GC-500316,2024-02-28,68.33
GC-500318-R1,GC-500318,2023-11-28,181.47
GC-500319-R1,GC-500319,2024-05-08,68.3
GC-500320-R1,GC-500320,2024-04-08,22.83
GC-500322-R1,GC-500322,2024-03-17,70.6
GC-500323-R1,GC-500323,2025-02-03,187.61
GC-500324-R1,GC-500324,2024-12-06,22.92
GC-500325-R1,GC-500325,2022-06-23,74.58
GC-500326-R1,GC-500326,2024-09-26,38.92
GC-500326-R2,GC-500326,2024-10-04,-17.17
GC-500328-R1,GC-500328,2024-01-19,52.89
GC-500328-R2,GC-500328,2024-05-19,64.3
GC-500328-R3,GC-500328,2024-07-19,66.83
GC-500329-R1,GC-500329,2024-03-10,69.01
GC-500329-R2,GC-500329,2024-03-20,-17.53
GC-500330-R1,GC-500330,2022-08-25,99.43
GC-500332-R1,GC-500332,2024-07-02,48.58
GC-500333-R1,GC-500333,2024-12-08,110.47
GC-500334-R1,GC-500334,2022-11-24,10.3
GC-500334-R2,GC-500334,2023-03-24,18.62
GC-500334-R3,GC-500334,2023-06-24,9.49
GC-500334-R4,GC-500334,2023-10-24,9.88
GC-500335-R1,GC-500335,2022-02-09,69.17
GC-500336-R1,GC-500336,2023-04-17,70.43
GC-500337-R1,GC-500337,2022-12-05,10.66
GC-500337-R2,GC-500337,2023-02-05,13.05
GC-500339-R1,GC-500339,2024-12-02,20.75
GC-500340-R1,GC-500340,2024-05-04,24.19
GC-500343-R1,GC-500343,2024-07-21,192.28
GC-500344-R1,GC-500344,2024-08-07,184.3
GC-500345-R1,GC-500345,2022-07-28,46.83
GC-500348-R1,GC-500348,2022-12-02,23.1
GC-500350-R1,GC-500350,2023-02-16,221.46
GC-500351-R1,GC-500351,2023-11-15,22.61
GC-500351-R2,GC-500351,2024-03-15,23.96
GC-500352-R1,GC-500352,2023-06-04,46.29
GC-500352-R2,GC-500352,2023-10-04,33.38
GC-500352-R3,GC-500352,2023-11-04,23.25
GC-500352-R4,GC-500352,2024-01-04,39.66
GC-500353-R1,GC-500353,2022-06-08,47.69
GC-500354-R1,GC-500354,2025-04-11,136.7
GC-500355-R1,GC-500355,2024-05-22,5.63
GC-500355-R2,GC-500355,2024-07-22,18.77
GC-500356-R1,GC-500356,2023-10-08,70.11
GC-500357-R1,GC-500357,2023-10-01,74.75
GC-500357-R2,GC-500357,2023-12-01,45.03
GC-500357-R3,GC-500357,2024-02-01,31.96
GC-500357-R4,GC-500357,2024-03-01,40.02
GC-500358-R1,GC-500358,2024-05-20,71.98
GC-500359-R1,GC-500359,2023-09-16,17.96
GC-500359-R2,GC-500359,2024-01-16,26.96
GC-500359-R3,GC-500359,2024-04-16,13.67
GC-500359-R4,GC-500359,2024-06-16,16.05
GC-500360-R1,GC-500360,2023-11-27,186.44
GC-500362-R1,GC-500362,2024-07-27,195.89
GC-500363-R1,GC-500363,2023-08-24,32.67
GC-500363-R2,GC-500363,2023-09-24,16.03
GC-500363-R3,GC-500363,2024-01-24,8.67
GC-500363-R4,GC-500363,2024-04-24,13.54
GC-500365-R1,GC-500365,2024-04-24,71.6
GC-500367-R1,GC-500367,2022-05-03,47.21
GC-500368-R1,GC-500368,2022-11-28,36.91
GC-500368-R2,GC-500368,2022-12-05,-10.15
GC-500369-R1,GC-500369,2022-12-13,96.26
GC-500370-R1,GC-500370,2022-12-06,6.03
GC-500370-R2,GC-500370,2023-04-06,16.47
GC-500371-R1,GC-500371,2022-05-17,37.42
GC-500372-R1,GC-500372,2023-06-26,90.89
GC-500375-R1,GC-500375,2024-03-21,48.14
GC-500376-R1,GC-500376,2023-08-21,22.85
GC-500377-R1,GC-500377,2024-05-21,73.43
GC-500379-R1,GC-500379,2023-12-10,144.1
GC-500380-R1,GC-500380,2022-09-22,93.86
GC-500381-R1,GC-500381,2025-06-17,74.5
GC-500382-R1,GC-500382,2024-05-14,145.24
GC-500383-R1,GC-500383,2022-08-19,79.58
GC-500385-R1,GC-500385,2023-01-09,8.4
GC-500385-R2,GC-500385,2023-05-09,14.87
GC-500386-R1,GC-500386,2024-09-28,97.3
GC-500388-R1,GC-500388,2023-01-01,24.27
GC-500389-R1,GC-500389,2023-12-18,146.74
GC-500390-R1,GC-500390,2022-09-17,73.0
GC-500391-R1,GC-500391,2024-06-17,135.96
GC-500392-R1,GC-500392,2024-12-13,43.57
GC-500393-R1,GC-500393,2023-02-25,190.18
GC-500394-R1,GC-500394,2023-06-16,115.76
GC-500395-R1,GC-500395,2024-07-08,76.59
GC-500396-R1,GC-500396,2024-03-03,145.1
GC-500398-R1,GC-500398,2024-04-02,61.75
GC-500398-R2,GC-500398,2024-09-02,21.85
GC-500398-R3,GC-500398,2024-12-02,58.25
GC-500399-R1,GC-500399,2023-02-05,146.41
GC-500400-R1,GC-500400,2023-02-18,140.2
GC-500401-R1,GC-500401,2022-01-07,98.49
GC-500402-R1,GC-500402,2025-01-21,94.92
GC-500403-R1,GC-500403,2022-10-10,16.7
GC-500403-R2,GC-500403,2022-11-10,12.27
GC-500403-R3,GC-500403,2023-04-10,4.93
GC-500403-R4,GC-500403,2023-08-10,15.59
GC-500404-R1,GC-500404,2022-07-08,199.28
GC-500405-R1,GC-500405,2024-04-15,90.11
GC-500405-R2,GC-500405,2024-06-15,96.42
GC-500406-R1,GC-500406,2022-09-12,8.27
GC-500406-R2,GC-500406,2022-11-12,4.91
GC-500406-R3,GC-500406,2023-03-12,9.73
GC-500407-R1,GC-500407,2023-02-03,10.4
GC-500407-R2,GC-500407,2023-05-03,9.45
GC-500407-R3,GC-500407,2023-07-03,14.32
GC-500407-R4,GC-500407,2023-11-03,14.87
GC-500408-R1,GC-500408,2022-05-11,40.67
GC-500409-R1,GC-500409,2024-06-27,91.02
GC-500410-R1,GC-500410,2022-06-07,17.23
GC-500410-R2,GC-500410,2022-09-07,13.67
GC-500410-R3,GC-500410,2022-10-07,3.12
GC-500410-R4,GC-500410,2022-11-07,11.97
GC-500413-R1,GC-500413,2024-11-13,96.83
GC-500414-R1,GC-500414,2023-11-18,98.83
GC-500415-R1,GC-500415,2023-11-28,31.12
GC-500415-R2,GC-500415,2024-03-28,67.71
GC-500418-R1,GC-500418,2025-02-25,92.7
GC-500419-R1,GC-500419,2022-08-02,12.26
GC-500419-R2,GC-500419,2022-10-02,2.82
GC-500419-R3,GC-500419,2022-12-02,9.44
GC-500420-R1,GC-500420,2025-04-28,20.47
GC-500420-R2,GC-500420,2025-05-12,-6.48
GC-500421-R1,GC-500421,2023-01-08,139.77
GC-500422-R1,GC-500422,2024-03-22,98.3
GC-500422-R2,GC-500422,2024-03-26,-34.12
GC-500424-R1,GC-500424,2024-02-11,10.68
GC-500424-R2,GC-500424,2024-04-11,38.35
GC-500425-R1,GC-500425,2022-12-16,28.07
GC-500425-R2,GC-500425,2023-03-16,13.55
GC-500425-R3,GC-500425,2023-05-16,16.3
GC-500425-R4,GC-500425,2023-09-16,16.78
GC-500427-R1,GC-500427,2023-07-03,35.07
GC-500427-R2,GC-500427,2023-08-03,54.35
GC-500427-R3,GC-500427,2024-01-03,18.35
GC-500427-R4,GC-500427,2024-06-03,39.45
GC-500428-R1,GC-500428,2023-03-08,36.6
GC-500429-R1,GC-500429,2024-12-13,73.09
GC-500431-R1,GC-500431,2022-03-24,46.25
GC-500432-R1,GC-500432,2022-05-03,32.84
GC-500432-R2,GC-500432,2022-09-03,61.54
GC-500434-R1,GC-500434,2022-11-28,24.5
