card_id,customer_id,issuance_date,issued_amount,currency,status
GC-500068,CUST-00919,2022-05-21,24.39,GBP,ACTIVE
GC-500069,CUST-00625,2023-05-04,96.69,USD,ACTIVE
GC-500070,CUST-00893,2024-08-10,73.25,GBP,ACTIVE
GC-500071,CUST-00470,2022-12-02,23.95,USD,ACTIVE
GC-500072,CUST-00813,2022-06-05,196.61,EUR,ACTIVE
GC-500073,CUST-01236,2022-09-05,23.37,EUR,ACTIVE
GC-500074,CUST-01776,2024-01-12,97.07,GBP,ACTIVE
GC-500075,CUST-01981,2024-08-10,191.85,USD,ACTIVE
GC-500076,CUST-00999,2024-08-09,145.02,EUR,ACTIVE
GC-500077,CUST-01454,2023-06-14,74.1,USD,ACTIVE
GC-500078,CUST-01132,2022-01-21,45.43,EUR,ACTIVE
GC-500079,CUST-02275,2023-05-08,96.46,GBP,ACTIVE
GC-500080,CUST-02383,2024-01-26,142.96,USD,ACTIVE
GC-500081,CUST-00945,2022-09-05,46.58,GBP,ACTIVE
GC-500082,CUST-00785,2023-03-20,92.76,GBP,ACTIVE
GC-500083,CUST-02149,2023-08-03,46.48,USD,ACTIVE
GC-500084,CUST-02011,2022-07-30,139.27,USD,ACTIVE
GC-500085,CUST-01642,2024-10-04,144.44,USD,ACTIVE
GC-500086,CUST-02306,2023-09-15,45.59,USD,ACTIVE
GC-500087,CUST-00925,2024-12-06,99.09,USD,ACTIVE
GC-500088,CUST-01251,2022-05-04,181.98,EUR,ACTIVE
GC-500089,CUST-01084,2022-06-16,45.87,USD,ACTIVE
GC-500090,CUST-01674,2024-07-11,142.05,GBP,ACTIVE
GC-500091,CUST-01159,2024-07-18,184.67,USD,ACTIVE
GC-500092,CUST-01742,2022-08-24,48.24,EUR,VOIDED
GC-500093,CUST-00583,2022-05-27,48.96,USD,ACTIVE
GC-500094,CUST-02332,2023-08-15,23.67,USD,ACTIVE
GC-500095,CUST-01321,2023-05-28,23.07,USD,ACTIVE
GC-500096,CUST-02357,2022-02-12,71.82,GBP,ACTIVE
GC-500097,CUST-01928,2024-11-28,99.16,GBP,ACTIVE
GC-500098,CUST-01786,2024-10-04,93.48,USD,ACTIVE
GC-500099,CUST-01687,2024-10-11,198.9,USD,ACTIVE
GC-500100,CUST-00151,2024-07-20,69.39,USD,ACTIVE
GC-500101,CUST-01656,2024-11-19,197.39,USD,ACTIVE
GC-500102,CUST-02124,2024-01-11,96.25,EUR,ACTIVE
GC-500103,CUST-01094,2022-09-26,98.81,USD,ACTIVE
GC-500104,CUST-02263,2024-04-15,49.96,USD,VOIDED
GC-500105,CUST-01891,2022-08-29,47.49,GBP,ACTIVE
GC-500106,CUST-02085,2023-07-14,99.8,USD,ACTIVE
GC-500107,CUST-00593,2024-02-25,142.62,USD,ACTIVE
GC-500108,CUST-01132,2024-04-29,139.01,USD,ACTIVE
GC-500109,CUST-01223,2024-09-29,95.39,USD,ACTIVE
GC-500110,CUST-01546,2024-07-21,49.9,USD,ACTIVE
GC-500111,CUST-00957,2024-04-21,73.09,USD,ACTIVE
GC-500112,CUST-01562,2024-03-01,199.62,GBP,ACTIVE
GC-500113,CUST-01804,2022-07-24,90.15,EUR,ACTIVE
GC-500114,CUST-00633,2022-06-03,70.04,USD,ACTIVE
GC-500115,CUST-00329,2023-11-04,140.7,GBP,ACTIVE
GC-500116,CUST-01778,2022-07-21,197.45,GBP,ACTIVE
GC-500117,CUST-02176,2024-04-23,195.85,EUR,ACTIVE
GC-500118,CUST-01567,2023-05-09,137.15,USD,ACTIVE
GC-500119,CUST-00648,2022-06-01,74.91,USD,ACTIVE
GC-500120,CUST-00972,2024-02-21,71.81,EUR,ACTIVE
GC-500121,CUST-01622,2023-07-17,147.98,USD,ACTIVE
GC-500122,CUST-02035,2023-08-10,147.03,USD,ACTIVE
GC-500123,CUST-01027,2022-10-08,24.76,GBP,ACTIVE
GC-500124,CUST-01266,2024-06-21,140.47,USD,ACTIVE
GC-500125,CUST-01339,2024-04-30,45.66,USD,ACTIVE
GC-500126,CUST-01974,2023-08-28,73.53,GBP,ACTIVE
GC-500127,CUST-02283,2024-01-20,90.14,USD,ACTIVE
GC-500128,CUST-01932,2022-02-21,139.92,EUR,ACTIVE
GC-500129,CUST-00259,2024-08-08,72.37,GBP,ACTIVE
GC-500130,CUST-00153,2023-09-16,22.74,USD,VOIDED
GC-500131,CUST-00556,2024-03-06,72.53,USD,ACTIVE
GC-500132,CUST-01717,2022-11-13,181.98,USD,ACTIVE
GC-500133,CUST-00407,2024-01-23,187.17,EUR,ACTIVE
GC-500134,CUST-00088,2022-04-14,49.94,USD,ACTIVE
GC-500135,CUST-00282,2023-03-01,49.07,EUR,ACTIVE
GC-500136,CUST-00605,2022-01-06,49.94,USD,ACTIVE
GC-500137,CUST-00975,2023-10-26,46.33,USD,ACTIVE
GC-500138,CUST-02155,2022-08-21,23.69,GBP,ACTIVE
GC-500139,CUST-00447,2024-07-14,49.73,EUR,ACTIVE
GC-500140,CUST-02136,2023-09-10,199.28,USD,ACTIVE
GC-500141,CUST-01646,2024-05-23,23.73,GBP,VOIDED
GC-500142,CUST-00302,2022-06-15,137.23,USD,ACTIVE
GC-500143,CUST-02398,2023-10-28,142.96,USD,ACTIVE
GC-500144,CUST-01695,2023-11-26,94.16,USD,ACTIVE
GC-500145,CUST-01281,2023-06-07,48.43,USD,ACTIVE
GC-500146,CUST-00533,2022-05-03,143.43,EUR,ACTIVE
GC-500147,CUST-01683,2023-12-26,98.68,GBP,ACTIVE
GC-500148,CUST-01280,2023-12-22,142.61,USD,ACTIVE
GC-500149,CUST-00919,2022-08-10,140.51,USD,ACTIVE
GC-500150,CUST-00927,2024-05-28,144.2,EUR,ACTIVE
GC-500151,CUST-00108,2023-07-02,46.37,USD,ACTIVE
GC-500152,CUST-01438,2022-01-13,47.83,USD,ACTIVE
GC-500153,CUST-01859,2023-11-30,69.84,USD,ACTIVE
GC-500154,CUST-01990,2024-06-24,69.12,USD,ACTIVE
GC-500155,CUST-01994,2024-12-15,67.84,GBP,ACTIVE
GC-500156,CUST-00032,2023-02-23,48.84,USD,ACTIVE
GC-500157,CUST-01344,2022-09-03,97.47,USD,ACTIVE
GC-500158,CUST-02182,2023-04-17,147.5,EUR,ACTIVE
GC-500159,CUST-01627,2022-03-28,23.65,USD,ACTIVE
GC-500160,CUST-02359,2024-05-29,97.09,EUR,ACTIVE
GC-500161,CUST-01885,2024-01-12,98.44,USD,ACTIVE
GC-500162,CUST-01641,2024-12-09,98.71,USD,ACTIVE
GC-500163,CUST-01365,2022-12-11,144.5,USD,ACTIVE
GC-500164,CUST-01049,2023-02-09,137.29,USD,ACTIVE
GC-500165,CUST-00726,2024-10-08,146.4,USD,ACTIVE
GC-500166,CUST-01324,2023-10-10,90.68,USD,ACTIVE
GC-500167,CUST-00234,2024-01-26,24.11,USD,ACTIVE
GC-500168,CUST-02378,2022-03-26,144.78,USD,ACTIVE
GC-500169,CUST-02067,2022-12-20,48.54,USD,ACTIVE
GC-500170,CUST-00651,2024-01-16,70.41,USD,ACTIVE
GC-500171,CUST-00215,2023-11-17,68.21,USD,ACTIVE
GC-500172,CUST-01164,2023-06-01,199.29,GBP,ACTIVE
GC-500173,CUST-00616,2023-11-14,144.95,USD,VOIDED
GC-500174,CUST-01271,2024-03-13,145.63,USD,ACTIVE
GC-500175,CUST-01543,2023-11-04,194.06,USD,ACTIVE
GC-500176,CUST-01735,2024-11-07,23.41,USD,ACTIVE
GC-500177,CUST-01400,2024-09-22,50.0,USD,ACTIVE
GC-500178,CUST-00415,2024-11-05,197.67,EUR,ACTIVE
GC-500179,CUST-00537,2024-02-11,45.9,USD,ACTIVE
GC-500180,CUST-00679,2024-06-15,93.64,USD,ACTIVE
GC-500181,CUST-01820,2023-08-07,92.34,GBP,ACTIVE
GC-500182,CUST-01922,2023-02-02,198.94,USD,ACTIVE
GC-500183,CUST-01565,2024-10-26,99.66,EUR,ACTIVE
GC-500184,CUST-01025,2022-04-17,98.74,GBP,ACTIVE
GC-500185,CUST-00421,2024-11-22,68.13,USD,ACTIVE
GC-500186,CUST-02103,2022-10-29,24.87,USD,ACTIVE
GC-500187,CUST-01432,2022-02-24,23.49,USD,ACTIVE
GC-500188,CUST-00599,2022-10-09,74.38,USD,ACTIVE
GC-500189,CUST-01049,2023-03-18,149.1,USD,ACTIVE
GC-500190,CUST-01734,2022-08-16,46.51,USD,ACTIVE
GC-500191,CUST-01873,2022-05-09,95.97,USD,ACTIVE
GC-500192,CUST-02356,2023-05-11,46.46,GBP,ACTIVE
GC-500193,CUST-00986,2024-05-03,193.36,USD,ACTIVE
GC-500194,CUST-02270,2022-02-11,90.44,USD,ACTIVE
GC-500195,CUST-02384,2023-11-12,23.38,USD,ACTIVE
GC-500196,CUST-00152,2023-08-24,24.48,USD,VOIDED
GC-500197,CUST-01293,2023-09-28,99.89,EUR,ACTIVE
GC-500198,CUST-01120,2022-09-12,98.89,USD,ACTIVE
GC-500199,CUST-01389,2023-01-18,189.95,USD,ACTIVE
GC-500200,CUST-01739,2022-06-11,149.93,USD,ACTIVE
GC-500201,CUST-01316,2022-07-30,72.46,USD,ACTIVE
GC-500202,CUST-01125,2022-04-28,192.75,USD,ACTIVE
GC-500203,CUST-01484,2024-02-24,24.01,EUR,ACTIVE
GC-500204,CUST-01520,2024-02-01,23.93,USD,ACTIVE
GC-500205,CUST-02121,2024-03-03,23.15,EUR,ACTIVE
GC-500206,CUST-00304,2024-07-14,188.9,USD,ACTIVE
GC-500207,CUST-01310,2023-12-13,23.87,GBP,ACTIVE
GC-500208,CUST-00569,2023-04-30,23.4,USD,ACTIVE
GC-500209,CUST-01915,2022-09-23,22.66,EUR,ACTIVE
GC-500210,CUST-01909,2024-11-25,49.39,USD,ACTIVE
GC-500211,CUST-00746,2022-09-22,148.66,USD,ACTIVE
GC-500212,CUST-02123,2022-11-10,45.81,USD,ACTIVE
GC-500213,CUST-02126,2023-08-05,68.97,USD,ACTIVE
GC-500214,CUST-00383,2024-10-26,47.96,GBP,ACTIVE
GC-500215,CUST-00702,2023-11-23,24.56,EUR,ACTIVE
GC-500216,CUST-02363,2023-06-27,48.83,GBP,ACTIVE
GC-500217,CUST-00246,2022-11-20,94.84,USD,ACTIVE
GC-500218,CUST-00589,2023-10-03,73.01,GBP,ACTIVE
GC-500219,CUST-00536,2024-01-29,136.59,EUR,ACTIVE
GC-500220,CUST-01096,2024-07-09,45.48,USD,ACTIVE
GC-500221,CUST-01342,2023-10-03,47.49,USD,ACTIVE
GC-500222,CUST-00882,2023-12-24,23.2,USD,ACTIVE
GC-500223,CUST-01928,2023-08-09,24.62,EUR,ACTIVE
GC-500224,CUST-01485,2023-08-15,95.04,USD,ACTIVE
GC-500225,CUST-00487,2022-09-21,93.73,USD,ACTIVE
GC-500226,CUST-00591,2023-02-12,141.02,EUR,ACTIVE
GC-500227,CUST-00562,2023-11-14,141.85,USD,ACTIVE
GC-500228,CUST-02112,2022-10-14,139.78,USD,ACTIVE
GC-500229,CUST-01509,2023-11-10,24.95,GBP,ACTIVE
GC-500230,CUST-00110,2024-08-29,195.66,USD,ACTIVE
GC-500231,CUST-00933,2022-04-16,91.71,EUR,ACTIVE
GC-500232,CUST-01558,2022-10-30,45.16,GBP,ACTIVE
GC-500233,CUST-01807,2023-10-05,47.06,USD,ACTIVE
GC-500234,CUST-01932,2022-05-08,47.59,GBP,ACTIVE
GC-500235,CUST-01960,2024-12-12,74.68,USD,ACTIVE
GC-500236,CUST-02238,2023-12-27,193.61,GBP,ACTIVE
GC-500237,CUST-01984,2023-01-29,71.69,USD,ACTIVE
GC-500238,CUST-01184,2023-03-01,189.78,GBP,ACTIVE
GC-500239,CUST-01190,2022-03-28,181.58,USD,ACTIVE
GC-500240,CUST-00877,2023-02-18,74.5,EUR,ACTIVE
GC-500241,CUST-00563,2022-08-12,191.74,EUR,ACTIVE
GC-500242,CUST-02176,2023-04-08,45.26,GBP,ACTIVE
GC-500243,CUST-01956,2023-02-13,69.64,USD,ACTIVE
GC-500244,CUST-00367,2023-04-21,194.46,EUR,ACTIVE
GC-500245,CUST-00721,2022-03-16,91.86,USD,ACTIVE
GC-500246,CUST-00154,2022-01-19,144.04,USD,ACTIVE
GC-500247,CUST-02226,2024-12-09,49.26,USD,ACTIVE
GC-500248,CUST-01355,2022-11-29,96.48,GBP,ACTIVE
GC-500249,CUST-00058,2023-11-22,145.12,USD,ACTIVE
GC-500250,CUST-01661,2024-05-25,68.15,EUR,ACTIVE
GC-500251,CUST-00757,2022-10-15,74.52,USD,ACTIVE
GC-500252,CUST-00965,2024-07-03,69.76,USD,ACTIVE
GC-500253,CUST-01072,2024-01-07,45.31,GBP,ACTIVE
GC-500254,CUST-00655,2024-04-10,148.85,GBP,VOIDED
GC-500255,CUST-01274,2022-08-29,70.26,GBP,ACTIVE
GC-500256,CUST-01959,2022-11-10,199.78,USD,ACTIVE
GC-500257,CUST-02153,2024-07-03,187.24,EUR,VOIDED
GC-500258,CUST-00460,2022-05-07,138.03,EUR,ACTIVE
GC-500259,CUST-02389,2024-09-28,141.68,USD,ACTIVE
GC-500260,CUST-02103,2024-04-30,135.87,USD,ACTIVE
GC-500261,CUST-01412,2022-05-11,24.84,EUR,ACTIVE
GC-500262,CUST-00130,2023-08-11,48.84,USD,ACTIVE
GC-500263,CUST-01534,2024-02-23,93.76,USD,ACTIVE
GC-500264,CUST-02209,2022-09-30,68.39,GBP,ACTIVE
GC-500265,CUST-00913,2022-01-08,70.97,USD,ACTIVE
GC-500266,CUST-01738,2024-12-25,46.24,USD,ACTIVE
GC-500267,CUST-00463,2022-03-07,96.15,GBP,ACTIVE
GC-500268,CUST-00276,2022-07-26,23.62,EUR,ACTIVE
GC-500269,CUST-00200,2023-05-17,23.51,GBP,ACTIVE
GC-500270,CUST-00232,2022-10-14,69.26,EUR,VOIDED
GC-500271,CUST-02360,2023-10-16,146.59,EUR,ACTIVE
GC-500272,CUST-01237,2022-10-21,138.32,GBP,ACTIVE
GC-500273,CUST-02277,2024-10-12,74.56,USD,ACTIVE
GC-500274,CUST-02149,2023-10-15,94.08,GBP,ACTIVE
GC-500275,CUST-01897,2022-04-29,99.68,EUR,ACTIVE
GC-500276,CUST-00550,2024-03-06,69.03,USD,ACTIVE
GC-500277,CUST-01843,2024-01-30,145.87,USD,ACTIVE
GC-500278,CUST-01545,2022-03-22,49.02,USD,ACTIVE
GC-500279,CUST-02290,2023-03-21,49.35,USD,ACTIVE
GC-500280,CUST-00994,2023-02-23,47.76,USD,ACTIVE
GC-500281,CUST-01910,2024-12-28,69.81,GBP,ACTIVE
GC-500282,CUST-00404,2024-08-19,46.85,USD,ACTIVE
GC-500283,CUST-02373,2024-05-05,45.98,USD,ACTIVE
GC-500284,CUST-01007,2024-10-19,198.87,EUR,ACTIVE
GC-500285,CUST-01888,2022-12-11,68.77,GBP,ACTIVE
GC-500286,CUST-00754,2022-05-01,24.6,EUR,ACTIVE
GC-500287,CUST-00199,2022-01-14,49.21,USD,ACTIVE
GC-500288,CUST-00619,2022-01-19,141.84,USD,ACTIVE
GC-500289,CUST-01980,2024-09-26,23.83,USD,ACTIVE
GC-500290,CUST-01126,2023-08-11,147.2,USD,ACTIVE
GC-500291,CUST-00735,2022-08-08,137.23,USD,ACTIVE
GC-500292,CUST-01034,2023-12-27,90.79,USD,ACTIVE
GC-500293,CUST-00331,2022-03-06,93.79,USD,ACTIVE
GC-500294,CUST-00230,2022-01-20,45.41,GBP,ACTIVE
GC-500295,CUST-02318,2022-07-15,23.07,EUR,VOIDED
GC-500296,CUST-02322,2024-08-31,24.81,USD,ACTIVE
GC-500297,CUST-01149,2022-03-09,67.62,USD,ACTIVE
GC-500298,CUST-01632,2022-06-07,47.82,USD,ACTIVE
GC-500299,CUST-01594,2023-11-11,182.8,USD,ACTIVE
GC-500300,CUST-01417,2022-04-20,92.32,USD,ACTIVE
GC-500301,CUST-01625,2023-10-31,185.47,USD,ACTIVE
GC-500302,CUST-02266,2024-02-08,48.4,USD,ACTIVE
GC-500303,CUST-00352,2023-08-28,181.47,USD,ACTIVE
GC-500304,CUST-01822,2024-01-08,22.83,USD,ACTIVE
GC-500305,CUST-02282,2024-11-15,22.57,USD,ACTIVE
GC-500306,CUST-01329,2024-02-28,70.6,USD,ACTIVE
GC-500307,CUST-00995,2024-12-03,187.61,USD,ACTIVE
GC-500308,CUST-01100,2024-10-06,22.92,USD,ACTIVE
GC-500309,CUST-00316,2024-01-10,48.6,USD,ACTIVE
GC-500310,CUST-01557,2023-11-06,70.73,USD,ACTIVE
GC-500311,CUST-01231,2023-10-19,184.02,EUR,ACTIVE
GC-500312,CUST-01610,2024-01-18,138.0,USD,ACTIVE
GC-500313,CUST-02254,2022-02-25,99.43,GBP,ACTIVE
GC-500314,CUST-01194,2022-05-22,189.99,USD,ACTIVE
GC-500315,CUST-00992,2023-06-02,48.58,GBP,ACTIVE
GC-500316,CUST-01840,2024-09-08,95.34,EUR,ACTIVE
GC-500317,CUST-01473,2022-06-24,48.29,USD,ACTIVE
GC-500318,CUST-01060,2023-03-31,190.38,EUR,ACTIVE
GC-500319,CUST-02357,2023-03-29,70.43,USD,ACTIVE
GC-500320,CUST-02050,2022-11-05,23.71,USD,ACTIVE
GC-500321,CUST-01866,2023-02-28,93.48,EUR,ACTIVE
GC-500322,CUST-01854,2023-10-16,67.84,USD,ACTIVE
GC-500323,CUST-00093,2023-12-04,24.19,GBP,ACTIVE
GC-500324,CUST-01000,2024-11-22,137.4,USD,ACTIVE
GC-500325,CUST-01893,2023-04-20,183.69,USD,ACTIVE
GC-500326,CUST-01771,2024-03-21,192.28,USD,ACTIVE
GC-500327,CUST-01760,2024-03-07,184.3,USD,ACTIVE
GC-500328,CUST-01075,2024-09-29,186.27,EUR,ACTIVE
GC-500329,CUST-00468,2023-12-14,96.17,USD,ACTIVE
GC-500330,CUST-00348,2022-10-02,23.1,USD,ACTIVE
GC-500331,CUST-00580,2024-11-12,95.96,USD,ACTIVE
GC-500332,CUST-01733,2023-01-16,190.75,USD,VOIDED
GC-500333,CUST-00710,2022-12-08,68.55,USD,ACTIVE
GC-500334,CUST-02301,2024-11-01,94.09,GBP,ACTIVE
GC-500335,CUST-02002,2022-12-09,135.46,USD,ACTIVE
GC-500336,CUST-00134,2023-07-17,139.33,USD,ACTIVE
GC-500337,CUST-02029,2024-11-12,136.71,USD,ACTIVE
GC-500338,CUST-02221,2022-03-27,95.46,GBP,ACTIVE
GC-500339,CUST-01014,2023-09-02,92.63,USD,ACTIVE
GC-500340,CUST-01799,2022-08-29,49.05,USD,ACTIVE
GC-500341,CUST-01437,2024-05-26,137.09,USD,ACTIVE
GC-500342,CUST-00244,2023-12-20,71.98,EUR,ACTIVE
GC-500343,CUST-01199,2023-08-16,74.64,EUR,ACTIVE
GC-500344,CUST-01023,2022-10-27,73.71,GBP,ACTIVE
GC-500345,CUST-02005,2022-10-19,185.37,EUR,ACTIVE
GC-500346,CUST-01863,2024-09-26,135.04,USD,ACTIVE
GC-500347,CUST-01878,2024-01-04,140.97,USD,ACTIVE
GC-500348,CUST-01384,2022-09-25,97.88,EUR,VOIDED
GC-500349,CUST-00199,2022-04-05,195.68,USD,ACTIVE
GC-500350,CUST-00829,2022-09-28,68.69,GBP,ACTIVE
GC-500351,CUST-01477,2023-05-28,72.48,USD,ACTIVE
GC-500352,CUST-00213,2024-03-22,72.94,GBP,ACTIVE
GC-500353,CUST-00374,2022-07-14,47.38,USD,ACTIVE
GC-500354,CUST-02128,2024-06-30,24.24,USD,ACTIVE
GC-500355,CUST-00542,2024-09-05,46.92,USD,ACTIVE
GC-500356,CUST-00423,2023-10-04,68.53,USD,ACTIVE
GC-500357,CUST-00586,2022-05-21,135.13,EUR,ACTIVE
GC-500358,CUST-01803,2023-12-21,48.14,GBP,ACTIVE
GC-500359,CUST-01813,2023-03-21,22.85,USD,ACTIVE
GC-500360,CUST-01573,2023-12-21,73.43,USD,ACTIVE
GC-500361,CUST-00346,2023-05-24,144.0,EUR,ACTIVE
GC-500362,CUST-00110,2023-09-10,144.1,USD,ACTIVE
GC-500363,CUST-01211,2022-04-22,93.86,USD,ACTIVE
GC-500364,CUST-00291,2024-12-17,74.5,USD,ACTIVE
GC-500365,CUST-02329,2024-05-11,145.24,USD,ACTIVE
GC-500366,CUST-00069,2022-05-19,69.12,USD,ACTIVE
GC-500367,CUST-02053,2024-04-30,188.05,USD,ACTIVE
GC-500368,CUST-02203,2022-11-09,23.27,USD,ACTIVE
GC-500369,CUST-01271,2024-06-14,45.29,GBP,ACTIVE
GC-500370,CUST-00476,2024-07-17,135.83,EUR,ACTIVE
GC-500371,CUST-00720,2022-09-02,182.74,USD,ACTIVE
GC-500372,CUST-01421,2024-12-07,185.18,EUR,ACTIVE
GC-500373,CUST-00484,2022-03-02,92.72,USD,ACTIVE
GC-500374,CUST-02362,2022-06-07,95.11,USD,ACTIVE
GC-500375,CUST-02322,2022-12-08,46.28,USD,ACTIVE
GC-500376,CUST-00473,2023-04-13,135.04,GBP,ACTIVE
GC-500377,CUST-01002,2022-04-05,70.37,USD,ACTIVE
GC-500378,CUST-00145,2024-05-08,69.36,USD,VOIDED
GC-500379,CUST-01311,2023-07-10,140.59,USD,ACTIVE
GC-500380,CUST-00283,2024-08-10,69.95,USD,ACTIVE
GC-500381,CUST-00033,2024-01-26,71.73,USD,ACTIVE
GC-500382,CUST-01005,2022-11-05,90.24,USD,ACTIVE
GC-500383,CUST-00976,2024-05-09,24.93,USD,ACTIVE
GC-500384,CUST-00382,2022-03-31,141.2,USD,VOIDED
GC-500385,CUST-01878,2022-06-23,23.76,EUR,ACTIVE
GC-500386,CUST-01616,2022-06-03,135.93,EUR,ACTIVE
GC-500387,CUST-00536,2023-04-30,73.88,USD,ACTIVE
GC-500388,CUST-01337,2023-10-14,69.25,USD,ACTIVE
GC-500389,CUST-02395,2022-08-12,22.91,USD,ACTIVE
GC-500390,CUST-00371,2022-11-19,73.7,GBP,ACTIVE
GC-500391,CUST-00166,2023-03-17,45.46,USD,ACTIVE
GC-500392,CUST-01624,2024-11-17,185.98,USD,ACTIVE
GC-500393,CUST-00128,2024-04-08,146.22,USD,ACTIVE
GC-500394,CUST-00418,2022-10-14,22.65,USD,ACTIVE
GC-500395,CUST-00536,2023-02-10,72.65,USD,ACTIVE
GC-500396,CUST-01061,2022-06-03,22.99,USD,ACTIVE
GC-500397,CUST-00528,2022-07-08,22.61,USD,ACTIVE
GC-500398,CUST-01748,2022-12-20,49.54,USD,ACTIVE
GC-500399,CUST-01963,2022-05-05,70.37,USD,ACTIVE
GC-500400,CUST-01410,2024-10-25,92.7,USD,ACTIVE
GC-500401,CUST-00898,2022-03-02,24.52,USD,ACTIVE
GC-500402,CUST-00899,2024-03-06,45.88,USD,ACTIVE
GC-500403,CUST-01470,2022-02-27,187.03,GBP,ACTIVE
GC-500404,CUST-00583,2023-01-21,139.64,USD,ACTIVE
GC-500405,CUST-00003,2023-11-11,49.03,EUR,ACTIVE
GC-500406,CUST-00455,2024-12-13,23.43,USD,ACTIVE
